Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.67     0.00       24     0.00     0.00  genlink
  0.00     12.67     0.00       24     0.00     0.00  luaF_protosize
  0.00     12.67     0.00       24     0.00     0.00  traversearray
  0.00     12.67     0.00       24     0.00     0.00  traversestrongtable
  0.00     12.67     0.00       24     0.00     0.00  traversetable
  0.00     12.67     0.00       23     0.00     0.00  checknext
  0.00     12.67     0.00       22     0.00     0.00  check_next1
  0.00     12.67     0.00       22     0.00     0.00  localdebuginfo
  0.00     12.67     0.00       22     0.00     0.00  luaG_traceexec
  0.00     12.67     0.00       22     0.00     0.00  luaH_size
  0.00     12.67     0.00       22     0.00     0.00  tonumeral
  0.00     12.67     0.00       21     0.00     0.00  new_varkind
  0.00     12.67     0.00       21     0.00     0.00  registerlocalvar
  0.00     12.67     0.00       19     0.00     0.00  luaK_codeABx
  0.00     12.67     0.00       19     0.00     0.00  luaS_hashlongstr
  0.00     12.67     0.00       19     0.00     0.00  luaV_finishset
  0.00     12.67     0.00       18     0.00     0.00  index2stack
  0.00     12.67     0.00       18     0.00     0.00  traverseproto
  0.00     12.67     0.00       17     0.00     0.00  addk
  0.00     12.67     0.00       17     0.00     0.00  isneg
  0.00     12.67     0.00       17     0.00     0.00  l_str2int
  0.00     12.67     0.00       17     0.00     0.00  luaO_str2num
  0.00     12.67     0.00       17     0.00     0.00  lua_createtable
  0.00     12.67     0.00       17     0.00     0.00  lua_pushboolean
  0.00     12.67     0.00       17     0.00     0.00  lua_rotate
  0.00     12.67     0.00       17     0.00     0.00  read_numeral
  0.00     12.67     0.00       16     0.00     0.00  funcargs
  0.00     12.67     0.00       16     0.00     0.00  luaL_checkstack
  0.00     12.67     0.00       16     0.00     0.00  lua_checkstack
  0.00     12.67     0.00       16     0.00     0.00  nextrand
  0.00     12.67     0.00       15     0.00     0.00  adjustlocalvars
  0.00     12.67     0.00       15     0.00     0.00  ccall
  0.00     12.67     0.00       15     0.00     0.00  luaD_callnoyield
  0.00     12.67     0.00       15     0.00     0.00  luaH_getint
  0.00     12.67     0.00       15     0.00     0.00  luaL_setfuncs
  0.00     12.67     0.00       15     0.00     0.00  lua_absindex
  0.00     12.67     0.00       15     0.00     0.00  lua_getmetatable
  0.00     12.67     0.00       14     0.00     0.00  enterblock
  0.00     12.67     0.00       14     0.00     0.00  fitsBx
  0.00     12.67     0.00       14     0.00     0.00  luaK_int
  0.00     12.67     0.00       14     0.00     0.00  luaK_jump
  0.00     12.67     0.00       14     0.00     0.00  luaL_getsubtable
  0.00     12.67     0.00       14     0.00     0.00  luaS_eqstr
  0.00     12.67     0.00       14     0.00     0.00  luaV_finishget
  0.00     12.67     0.00       14     0.00     0.00  removevars
  0.00     12.67     0.00       14     0.00     0.00  solvegotos
  0.00     12.67     0.00       13     0.00     0.00  addstr2buff
  0.00     12.67     0.00       13     0.00     0.00  check_readonly
  0.00     12.67     0.00       13     0.00     0.00  constfolding
  0.00     12.67     0.00       13     0.00     0.00  getGlobalTable
  0.00     12.67     0.00       13     0.00     0.00  luaK_ret
  0.00     12.67     0.00       13     0.00     0.00  luaK_storevar
  0.00     12.67     0.00       13     0.00     0.00  lua_tolstring
  0.00     12.67     0.00       12     0.00     0.00  checkpointer
  0.00     12.67     0.00       12     0.00     0.00  getgeneric
  0.00     12.67     0.00       12     0.00     0.00  prepbuffsize
  0.00     12.67     0.00       11     0.00     0.00  exp2RK
  0.00     12.67     0.00       11     0.00     0.00  gettable
  0.00     12.67     0.00       11     0.00     0.00  luaD_rawrunprotected
  0.00     12.67     0.00       11     0.00     0.00  luaK_exp2K
  0.00     12.67     0.00       11     0.00     0.00  lua_setglobal
  0.00     12.67     0.00       11     0.00     0.00  lua_toboolean
  0.00     12.67     0.00       10     0.00     0.00  codeABRK
  0.00     12.67     0.00       10     0.00     0.00  luaK_setreturns
  0.00     12.67     0.00       10     0.00     0.00  luaL_checkversion_
  0.00     12.67     0.00       10     0.00     0.00  luaL_requiref
  0.00     12.67     0.00       10     0.00     0.00  lua_callk
  0.00     12.67     0.00       10     0.00     0.00  lua_touserdata
  0.00     12.67     0.00       10     0.00     0.00  lua_version
  0.00     12.67     0.00       10     0.00     0.00  statlist
  0.00     12.67     0.00        9     0.00     0.00  freeexps
  0.00     12.67     0.00        9     0.00     0.00  freeregs
  0.00     12.67     0.00        9     0.00     0.00  getvarattribute
  0.00     12.67     0.00        9     0.00     0.00  luaH_setint
  0.00     12.67     0.00        9     0.00     0.00  luaK_infix
  0.00     12.67     0.00        9     0.00     0.00  luaK_posfix
  0.00     12.67     0.00        9     0.00     0.00  luaL_checkudata
  0.00     12.67     0.00        9     0.00     0.00  luaL_prepbuffsize
  0.00     12.67     0.00        9     0.00     0.00  luaL_testudata
  0.00     12.67     0.00        9     0.00     0.00  luaV_equalobj
  0.00     12.67     0.00        9     0.00     0.00  lua_rawequal
  0.00     12.67     0.00        8     0.00     0.00  exprstat
  0.00     12.67     0.00        8     0.00     0.00  finishnodeset
  0.00     12.67     0.00        8     0.00     0.00  fitsC
  0.00     12.67     0.00        8     0.00     0.00  luaD_inctop
  0.00     12.67     0.00        8     0.00     0.00  luaK_getlabel
  0.00     12.67     0.00        8     0.00     0.00  luaX_newstring
  0.00     12.67     0.00        8     0.00     0.00  lua_gettop
  0.00     12.67     0.00        8     0.00     0.00  lua_pushnumber
  0.00     12.67     0.00        7     0.00     0.00  finishbinexpval
  0.00     12.67     0.00        7     0.00     0.00  genmoveresults
  0.00     12.67     0.00        7     0.00     0.00  isKint
  0.00     12.67     0.00        7     0.00     0.00  luaF_newCclosure
  0.00     12.67     0.00        7     0.00     0.00  retstat
  0.00     12.67     0.00        7     0.00     0.00  storevartop
  0.00     12.67     0.00        7     0.00     0.00  traverseCclosure
  0.00     12.67     0.00        6     0.00     0.00  close_func
  0.00     12.67     0.00        6     0.00     0.00  get2digits
  0.00     12.67     0.00        6     0.00     0.00  getformat
  0.00     12.67     0.00        6     0.00     0.00  luaD_pcall
  0.00     12.67     0.00        6     0.00     0.00  luaF_freeproto
  0.00     12.67     0.00        6     0.00     0.00  luaF_newproto
  0.00     12.67     0.00        6     0.00     0.00  luaK_finish
  0.00     12.67     0.00        6     0.00     0.00  luaK_patchlist
  0.00     12.67     0.00        6     0.00     0.00  luaK_patchtohere
  0.00     12.67     0.00        6     0.00     0.00  luaL_callmeta
  0.00     12.67     0.00        6     0.00     0.00  luaL_getmetafield
  0.00     12.67     0.00        6     0.00     0.00  luaL_tolstring
  0.00     12.67     0.00        6     0.00     0.00  luaO_codeparam
  0.00     12.67     0.00        6     0.00     0.00  luaS_createlngstrobj
  0.00     12.67     0.00        6     0.00     0.00  lua_rawseti
  0.00     12.67     0.00        6     0.00     0.00  lua_type
  0.00     12.67     0.00        6     0.00     0.00  open_func
  0.00     12.67     0.00        6     0.00     0.00  os_clock
  0.00     12.67     0.00        6     0.00     0.00  patchlistaux
  0.00     12.67     0.00        5     0.00     0.00  binopr2op
  0.00     12.67     0.00        5     0.00     0.00  body
  0.00     12.67     0.00        5     0.00     0.00  codename
  0.00     12.67     0.00        5     0.00     0.00  fieldsel
  0.00     12.67     0.00        5     0.00     0.00  finishrawget
  0.00     12.67     0.00        5     0.00     0.00  luaK_setoneret
  0.00     12.67     0.00        5     0.00     0.00  lua_pushinteger
  0.00     12.67     0.00        5     0.00     0.00  parlist
  0.00     12.67     0.00        5     0.00     0.00  restassign
  0.00     12.67     0.00        4     0.00     0.00  allocupvalue
  0.00     12.67     0.00        4     0.00     0.00  binopr2TM
  0.00     12.67     0.00        4     0.00     0.00  block
  0.00     12.67     0.00        4     0.00     0.00  checktoclose
  0.00     12.67     0.00        4     0.00     0.00  codearith
  0.00     12.67     0.00        4     0.00     0.00  codebinNoK
  0.00     12.67     0.00        4     0.00     0.00  codebinexpval
  0.00     12.67     0.00        4     0.00     0.00  exp1
  0.00     12.67     0.00        4     0.00     0.00  finishbinexpneg
  0.00     12.67     0.00        4     0.00     0.00  fixforjump
  0.00     12.67     0.00        4     0.00     0.00  fixjump
  0.00     12.67     0.00        4     0.00     0.00  funcname
  0.00     12.67     0.00        4     0.00     0.00  funcstat
  0.00     12.67     0.00        4     0.00     0.00  localstat
  0.00     12.67     0.00        4     0.00     0.00  luaS_newudata
  0.00     12.67     0.00        4     0.00     0.00  luaT_adjustvarargs
